Unit,Available,Size,Amenities,Suite_Floorplan_Url,Building,Floor,Unit_Type,Is_Production_Office,Has_Kitchen,Full_Floor_Floorplan_Url,Tour_3D_Url,Contact_Email_ID,Private_Offices,Secondary_Email
F-10,1,"4,292 RSF",Central Air • Loading dock access,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,3,dwyatt@lacenterstudios.com
F-15,0,"564 RSF",Central Air • Large ground floor space,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,0,dwyatt@lacenterstudios.com
F-20,0,"795 RSF",Central Air • Premium floor unit,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,0,dwyatt@lacenterstudios.com
F-25,0,"579 RSF",Central Air • Standard floor unit,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,0,dwyatt@lacenterstudios.com
F-30,1,"795 RSF",Central Air • Large floor unit,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,1,dwyatt@lacenterstudios.com
F-35,1,"709 RSF",Central Air • Corner floor unit,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,1,dwyatt@lacenterstudios.com
F-40,0,"656 RSF",Central Air • Standard floor space,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,0,dwyatt@lacenterstudios.com
F-50,1,"795 RSF",Central Air • Large floor space,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,1,dwyatt@lacenterstudios.com
F-60,1,"795 RSF",Central Air • Mid-size floor unit,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,1,dwyatt@lacenterstudios.com
F-70,1,"656 RSF",Central Air • Premium floor space,/floorplans/converted/FG_Full.png,Fifth Street Building,Ground Floor,Suite,FALSE,FALSE,/floorplans/converted/FG_Full.png,,lacenterstudios3d@gmail.com,1,dwyatt@lacenterstudios.com
F-100,0,"1,515 RSF",Central Air • In-unit Laundry • Storage,/floorplans/converted/f100.png,Fifth Street Building,First Floor,,FALSE,TRUE,/floorplans/converted/F1_Full.png,,lacenterstudios3d@gmail.com,0,dwyatt@lacenterstudios.com
